Код,Продукт,Цена,Роль в воронке,Статус,SKU в products-config.php
L1,"Чек-лист: 25 причин, почему подрядчик не получает деньги",0,Лид-магнит,В работе,
L2,Чек-лист: как зафиксировать дополнительные работы,0,Лид-магнит,Планируется,
L3,"Проверочный лист: 10 ошибок КС-2, из-за которых возвращают",0,Лид-магнит,Планируется,
T1,"Заказчик не оплачивает работы: претензия, расчёт процентов, порядок действий",990,Ступень входа,Продаётся,t1
T2,Калькулятор неустойки по 395 ГК РФ,990,Первая покупка,Отменён — вошёл в T1 одним из пяти файлов,
T3,Уведомление о дополнительных работах: шаблон и алгоритм,1490,Первая покупка,Планируется,
T4,Чек-лист приёмки объекта от ПТО,0,Сбор контактов,Планируется,
P3,"Комплект «КС-2 без возврата: сдайте с первой попытки»",1990,Основной продукт,Продаётся,p3
P1,"Комплект «Акты выполненных работ, КС-2 и КС-3: закрытие и взыскание оплаты»",2490,Основной продукт,Продаётся,p1
P2,"Комплект «Дополнительные работы: как получить оплату»",2490,Основной продукт,Продаётся,p2
P7,"Комплект «Договор субподряда: образец, красные флаги, протокол разногласий»",2490,Вход по спросу,Продаётся,p7
P8,"Комплект «Аванс по договору подряда и неотработанный остаток: условия, расчёт, ответ на требование о возврате»",2490,Вход по спросу,Продаётся,p8
P9,"Комплект «Реестр требований кредиторов: как подрядчику заявить требование, сроки, переписка с управляющим»",2990,Вход по спросу,Продаётся,p9
P10,"Комплект «Ответ на претензию заказчика или генподрядчика: документы против необоснованных штрафов и удержаний»",14900,Вход по спросу,Продаётся,p10
P4,"Комплект «Акты скрытых работ и исполнительная документация»",2990,Основной продукт,Продаётся,p4
P5,"Комплект «Гарантийное удержание: возврат, оспаривание штрафов и зачётов»",2990,Основной продукт,Продаётся,p5
P6,"Полный комплект «Защита маржи объекта»",6990,Максимальный чек,Продаётся,p6
P1+,Взыскание по КС-2 — Премиум,34900,Премиум,Отменён — опирается на консультацию (Р-027),
P2+,Дополнительные работы — Премиум,34900,Премиум,Отменён — опирается на консультацию (Р-027),
P3+,КС-2 без возврата — Премиум,29900,Премиум,Отменён — опирается на консультацию (Р-027),
P4+,ПТО без замечаний — Премиум,34900,Премиум,Отменён — опирается на консультацию (Р-027),
P5+,Возврат штрафов — Премиум,44900,Премиум,Отменён — опирается на консультацию (Р-027),
A1,"Абонемент «Защита маржи», квартал",9900,Повторная выручка,Отменён — опирается на консультацию (Р-027),
A2,"Абонемент «Защита маржи», год",7900,Повторная выручка,Отменён — опирается на консультацию (Р-027),
