file,claim_key,claim,law_reference,status,problem,recommended_fix,verified_at,source
articles/genpodryadchik-zarabatyvaet-na-vas.html,ссылка на статью кодекса|ст. 722 гк,"срока возврата, который можно оспорить. Почему это не «гарантия качества» Гарантийный срок на работы описан в ст. 722 ГК РФ, а для строительного подряда — в ст. 755 ГК РФ: подрядчи",ГК РФ ст. 722 «Гарантия качества работы»,CORRECT,,,2026-08-15,"поиск: base.garant.ru/10164072 add4df20…, consultant.ru cons_doc_LAW_9027"
articles/genpodryadchik-zarabatyvaet-na-vas.html,ссылка на статью кодекса|ст. 755 гк,"это не «гарантия качества» Гарантийный срок на работы описан в ст. 722 ГК РФ, а для строительного подряда — в ст. 755 ГК РФ: подрядчик отвечает за недостатки, обнаруженные в предел",ГК РФ ст. 755 «Гарантии качества в договоре строительного подряда»,CORRECT,,,2026-08-15,поиск: base.garant.ru/10164072 43927683…
articles/genpodryadchik-zarabatyvaet-na-vas.html,ссылка на статью кодекса|ст. 421 гк,"д таким названием в ГК РФ нет: это договорное условие, которое стороны вправе установить по свободе договора (ст. 421 ГК РФ). Отсюда и следствие, важное на практике: удержание держ",ГК РФ ст. 421 «Свобода договора»,CORRECT,,,2026-08-15,поиск
articles/genpodryadchik-zarabatyvaet-na-vas.html,ссылка на статью кодекса|ст. 314 гк,"в законе нет. Если срок возврата в договоре не определён, работает общее правило об исполнении обязательств (ст. 314 ГК РФ): обязательство исполняется в разумный срок, а после треб",ГК РФ ст. 314 «Срок исполнения обязательства»,CORRECT,,,2026-08-15,поиск: consultant.ru cons_doc_LAW_5142
articles/genpodryadchik-zarabatyvaet-na-vas.html,ссылка на статью кодекса|ст. 756 гк,"асто приводят как гарантийный срок в строительстве. Пять лет — это предельный срок обнаружения недостатков по ст. 756 ГК РФ (с отсылкой к пп. 2 и 4 ст. 724 ГК РФ), а не гарантийный",ГК РФ ст. 756 «Сроки обнаружения ненадлежащего качества строительных работ»,CORRECT,,,2026-08-15,поиск: base.garant.ru/10164072 6b0bfe24…
articles/genpodryadchik-zarabatyvaet-na-vas.html,ссылка на статью кодекса|ст. 741 гк,"ь короче, а предельный срок ограничивает период, в который недостаток вообще может быть предъявлен. Ссылки на ст. 741 ГК РФ и постановление Правительства № 47 к гарантийному сроку ",ГК РФ ст. 741 «Распределение риска между сторонами»,CORRECT,упомянута как пример неверной ссылки — это и есть её роль в тексте после правки,,2026-08-15,поиск: base.garant.ru/10164072 788c9a86…
products/p1-oplata-po-ks2.html,ссылка на статью кодекса|ст. 395 гк,"тоже. Формы КС-2 и КС-3, журналы объёмов и передачи, уведомление о просрочке, претензия, расчёт процентов по ст. 395 ГК РФ и исковое заявление. 2 490 ₽ Добавить в корзину 18 файлов",ГК РФ ст. 395 «Ответственность за неисполнение денежного обязательства»,CORRECT,,,2026-08-15,"поиск: base.garant.ru/10164072 8d892718…, consultant.ru cons_doc_LAW_5142"
products/p1-oplata-po-ks2.html,ссылка на статью кодекса|ст. 4 апк,"-2 Досудебное требование по принятым работам. Претензия обязательна перед иском по денежному требованию (ч. 5 ст. 4 АПК РФ). Расчёт процентов по ст. 395 ГК РФ Excel: периоды, части",АПК РФ ст. 4 ч. 5 «Право на обращение в арбитражный суд»,CORRECT,формулировка «претензия обязательна перед судом» верна для денежных требований из договора — это и есть случай комплекта; для неденежных споров порядок иной,,2026-08-15,поиск: consultant.ru cons_doc_LAW_37800 4d77fcea…
products/p12-spor-s-summoy.html,ссылка на статью кодекса|ст. 716 гк,"до спора и выключает типовые претензии заранее: соглашение о разграничении ответственности, предупреждение по ст. 716 ГК РФ, акт передачи фронта работ, акт входного контроля даваль","ГК РФ ст. 716 «Обстоятельства, о которых подрядчик обязан предупредить заказчика»",CORRECT,,,2026-08-15,поиск: consultant.ru cons_doc_LAW_9027 0a0cc8df…
products/t1-pervyy-shag-pri-neoplate.html,ссылка на статью кодекса|ст. 395 гк,Добавить в корзину 5 файлов в Word и Excel Претензия — обязательный шаг перед судом Калькулятор процентов по ст. 395 ГК РФ Что входит Уведомление о просрочке оплаты Мягкий первый ш,ГК РФ ст. 395 «Ответственность за неисполнение денежного обязательства»,CORRECT,,,2026-08-15,"поиск: base.garant.ru/10164072 8d892718…, consultant.ru cons_doc_LAW_5142"
products/t3-odnostoronniy-akt-i-zachet.html,ссылка на статью кодекса|ст. 716 гк,"б этом разделом, а не умолчанием. Профилактики. Соглашение о разграничении ответственности, предупреждение по ст. 716 ГК РФ, акт передачи фронта работ, акт входного контроля даваль","ГК РФ ст. 716 «Обстоятельства, о которых подрядчик обязан предупредить заказчика»",CORRECT,,,2026-08-15,поиск: consultant.ru cons_doc_LAW_9027 0a0cc8df…
