Волна,Порядок,Тип,Задача,Целевой URL,Запрос узла,Частотность узла,Формулировок в узле,Кластер,Товар,Магнит,Основание,Состояние
В-1,1,Инфраструктура,Подключить цели Метрики к статьям: app.js на статьи или trackGoal в attribution.js,—,—,0,0,—,—,—,0 из 33 статей грузят app.js — переходы статья→товар и статья→магнит не считаются,"сделано 11.08: цели в attribution.js, +article_to_product/article_to_magnet"
В-1,2,Инфраструктура,Добавить цели article_to_product и article_to_magnet,—,—,0,0,—,—,—,39 ссылок на товары и 32 врезки магнитов работают вслепую,"сделано 11.08: обе цели стоят, обработчик делегированный"
В-1,3,Инфраструктура,Блок сайта в metrics_snapshot: визиты и продажи в ряд снимков,—,—,0,0,—,—,—,в снимке метрик четыре числа проекта и ни одного про сайт,блокер: нет токена Метрики и доступа к orders/ — оба у владельца
В-1,4,Шаблон,Мобильное меню: разметка и кнопка раскрытия (Т-1),—,—,0,0,—,—,—,"topbar nav и article-nav .links скрыты до 900px, гамбургера в коде нет","сделано 11.08: кнопка из attribution.js, шапка 103px → 69px"
В-1,5,Шаблон,"Картинки: webp с fallback, width/height, loading=lazy (Т-2)",—,—,0,0,—,—,—,"53 МБ assets, 7 PNG тяжелее 1 МБ на страницах, 0 webp, 0 lazy, 0 размеров у 64 img","сделано 11.08: assets 53 МБ → 7,7 МБ, страница 257–325 КБ, CLS 0"
В-1,6,Шаблон,Синхронизировать ItemList на главной с витриной и добавить P10 (Т-9),/,—,0,0,—,—,—,"в разметке 3 бесплатных позиции старыми именами против 9 на витрине, P10 отсутствует","сделано 11.08: ItemList 15 → 22 позиции, собирается из кассы и витрины"
В-2,7,Н,Заказчик не оплачивает выполненные работы: что делать по шагам,/articles/zakazchik-ne-oplachivaet-vypolnennye-raboty.html,заказчик не оплачивает выполненные работы,837,1,Неоплата,T1,КС подписаны денег нет,"единственный измеренный запрос кластера с прямым денежным интентом, товар 990 ₽",в очереди
В-2,8,Н,Дополнительные работы в строительстве: как оформить и получить оплату,/articles/dopolnitelnye-raboty-v-stroitelstve.html,дополнительные работы в строительстве,1029,1,Допработы,P2,Допработы,"кластер покрыт текстом на 0%, товар готов",в очереди
В-2,9,Д,Расширить raboty-ne-prinyaty: 2 198 знаков — самая тонкая статья сайта,/articles/raboty-ne-prinyaty.html,—,0,0,Неоплата,T1,КС подписаны денег нет,тонкая статья на кластере с товаром (Т-10),в очереди
В-2,10,Д,"Расширить dopraboty-bez-soglasheniya, добавить узел «акт дополнительных работ»",/articles/dopraboty-bez-soglasheniya.html,акт дополнительных работ в строительстве,281,1,Допработы,P2,Допработы,"2 231 знак, вторая тонкая статья (Т-10)",в очереди
В-3,11,Магнит,Скачиваемый бланк акта скрытых работ — десятый бесплатный материал,/materialy/blank-akta-skrytyh-rabot.html,—,0,0,Исполнительная документация,P4,—,"девять действующих магнитов — проверочные листы, скачиваемого бланка в проекте нет",в очереди
В-3,12,Д,"Достроить akt-skrytyh-rabot-obrazec: форма, пример заполнения, ссылка на бланк",/articles/akt-skrytyh-rabot-obrazec.html,акт скрытых работ образец,6242,4,Исполнительная документация,P4,Бланк акта скрытых работ,"узел образец+форма+скачать+пример, интент — забрать файл",в очереди
