Страница,URL,Тип,Основной запрос,Продукт,CTA,Приоритет
Главная,/,Главная,Система получения оплаты за выполненные работы,Все продукты,Проверить проект,1
Проверки,/proverki/,Хаб,Коммерческие проверки,Диагностика объекта,Выбрать проверку,1
Проверка договора подряда,/proverki/dogovor-podryada/,Коммерческая,проверка договора строительного подряда,Проверка договора — от 9 990 ₽,Заказать проверку,1
Проверка исполнительной документации,/proverki/ispolnitelnaya-dokumentaciya/,Коммерческая,проверка исполнительной документации,Проверка ИД — от 14 990 ₽,Проверить комплект,1
Проверка КС-2 и КС-3,/proverki/ks-2-ks-3/,Коммерческая,проверка КС-2,Закрытие работ,Проверить КС,1
Проверка строительной сметы,/proverki/smeta/,Коммерческая,проверка строительной сметы,Проверка сметы — от 19 990 ₽,Проверить смету,2
Комплексная проверка проекта,/proverki/stroitelnyi-proekt/,Коммерческая,аудит строительного проекта,Комплексная проверка — от 29 990 ₽,Проверить проект,1
Решения,/resheniya/,Хаб,Проблемы с оплатой в строительстве,Диагностика объекта,Найти решение,1
Заказчик не оплачивает работы,/resheniya/ne-oplachivaet-raboty/,Проблемная,заказчик не оплачивает выполненные работы,Диагностика объекта,Разобрать неоплату,1
Дополнительные работы,/resheniya/dopolnitelnye-raboty/,Проблемная,дополнительные работы в строительстве,Допработы без потерь,Получить алгоритм,1
Гарантийное удержание,/resheniya/garantiynoe-uderzhanie/,Проблемная,гарантийное удержание,Диагностика объекта,Проверить удержание,1
Не подписывают КС-2,/resheniya/ne-podpisyvayut-ks-2/,Проблемная,не подписывают КС-2,Закрытие работ,Запустить приёмку,1
База знаний,/baza-znanii/,Хаб,Строительный подряд и оплата,Контент,Выбрать тему,1
Договоры,/baza-znanii/dogovory/,Кластер,договор строительного подряда,Проверка договора,Проверить договор,1
Исполнительная документация,/baza-znanii/ispolnitelnaya-dokumentaciya/,Кластер,исполнительная документация строительство,Проверка ИД,Проверить комплект,1
КС и приёмка,/baza-znanii/ks-priemka/,Кластер,КС-2 КС-3 приёмка,Закрытие работ,Проверить закрытие,1
Деньги и удержания,/baza-znanii/oplata-uderzhaniya/,Кластер,оплата работ удержания,Диагностика объекта,Найти деньги,1
Бесплатные материалы,/materialy/,Хаб,чек-листы подрядчика,Лид-магниты,Скачать,1
25 причин неоплаты,/materialy/25-prichin-neoplaty/,Лид-магнит,почему подрядчику не платят,Диагностика объекта,Получить PDF,1
Чек-лист договора,/materialy/chek-list-dogovora/,Лид-магнит,чек лист договора подряда,Проверка договора,Получить PDF,1
Чек-лист исполнительной документации,/materialy/chek-list-id/,Лид-магнит,чек лист исполнительной документации,Проверка ИД,Получить PDF,2
Кейсы,/keisy/,Хаб,кейсы строительного подряда,Все услуги,Смотреть кейсы,2
Об авторе,/ob-avtore/,Доверие,Александр Сергеев строительство,Все услуги,Связаться,2
Контакты,/kontakty/,Служебная,контакты Маржа в бетоне,Все услуги,Связаться,1
